epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1759.08,1.16549,1.09752,1.31292,0.6397,0.57803,0.62361,0.34888,1.53668,1.30756,1.52889,0.0091882,0.0091882,0.0091882
43,1801.03,1.16211,1.08379,1.29813,0.67304,0.59482,0.65245,0.35159,1.56218,1.29568,1.50814,0.0091684,0.0091684,0.0091684
44,1843.06,1.15395,1.08434,1.28978,0.69811,0.60883,0.67156,0.36521,1.53168,1.26652,1.50015,0.0091486,0.0091486,0.0091486
45,1885.01,1.13716,1.06171,1.28051,0.67597,0.57771,0.64205,0.36166,1.52567,1.31486,1.48424,0.0091288,0.0091288,0.0091288
46,1926.85,1.14738,1.06285,1.28733,0.68519,0.58656,0.64596,0.36579,1.52938,1.26538,1.49699,0.009109,0.009109,0.009109
47,1969.21,1.13131,1.04776,1.28061,0.69613,0.60789,0.6685,0.3687,1.5183,1.25619,1.48895,0.0090892,0.0090892,0.0090892
48,2012.63,1.14279,1.05773,1.28012,0.71796,0.59888,0.66282,0.37965,1.50916,1.22652,1.46897,0.0090694,0.0090694,0.0090694
49,2056.6,1.1413,1.05164,1.28038,0.67964,0.59422,0.65031,0.3601,1.52481,1.27261,1.4923,0.0090496,0.0090496,0.0090496
50,2099.23,1.13026,1.03937,1.27787,0.71114,0.59535,0.66676,0.37563,1.50101,1.22067,1.45688,0.0090298,0.0090298,0.0090298
51,2140.96,1.13007,1.02226,1.27549,0.70883,0.61015,0.6849,0.38212,1.51352,1.21557,1.48436,0.00901,0.00901,0.00901
52,2181.67,1.1341,1.0448,1.28552,0.66467,0.5893,0.63803,0.36654,1.49901,1.22642,1.48744,0.0089902,0.0089902,0.0089902
53,2222.43,1.1311,1.02541,1.27536,0.67752,0.6188,0.65981,0.37323,1.52329,1.25212,1.49755,0.0089704,0.0089704,0.0089704
54,2263.23,1.11981,1.01867,1.27701,0.70047,0.60082,0.66096,0.37602,1.51472,1.23426,1.4988,0.0089506,0.0089506,0.0089506
55,2303.97,1.11913,1.0012,1.26885,0.75812,0.59007,0.68213,0.38925,1.50856,1.20008,1.4722,0.0089308,0.0089308,0.0089308
56,2344.69,1.11842,0.99889,1.26366,0.75014,0.61921,0.70835,0.3961,1.5202,1.16975,1.47074,0.008911,0.008911,0.008911
57,2385.42,1.1184,1.00003,1.26411,0.76966,0.59065,0.68174,0.38128,1.5186,1.20029,1.48708,0.0088912,0.0088912,0.0088912
58,2426.23,1.12587,1.01223,1.27085,0.70865,0.64404,0.68324,0.37985,1.50104,1.21753,1.46125,0.0088714,0.0088714,0.0088714
59,2466.87,1.1005,0.9766,1.25692,0.78608,0.58487,0.69324,0.39303,1.50141,1.18955,1.48482,0.0088516,0.0088516,0.0088516
